,flux
2014/1/2,157.26498
2014/1/3,156.57135
2014/1/4,174.27228
2014/1/5,222.73155
2014/1/6,209.05641
2014/1/7,198.57365
2014/1/8,304.8509
2014/1/9,187.76892
2014/1/10,177.0343
2014/1/11,169.33548
2014/1/12,160.73141
2014/1/13,150.42268
2014/1/14,139.98894
2014/1/15,133.41727
2014/1/16,122.54152
2014/1/17,117.64328
2014/1/18,122.84123
2014/1/19,124.63902
2014/1/20,123.93997
2014/1/21,134.91174
2014/1/22,142.77382
2014/1/23,139.29243
2014/1/24,132.62001
2014/1/25,131.92227
2014/1/26,129.6289
2014/1/27,134.31401
2014/1/28,137.99861
2014/1/29,152.10951
2014/1/30,153.59732
2014/1/31,158.45381
2014/2/1,163.60144
2014/2/2,171.40967
2014/2/3,186.982
2014/2/4,182.94673
2014/2/5,189.04733
2014/2/6,187.96562
2014/2/7,185.70296
2014/2/8,173.87755
2014/2/9,165.67848
2014/2/10,165.28293
2014/2/11,157.16591
2014/2/12,166.86488
2014/2/13,158.05759
2014/2/14,160.4344
2014/2/15,156.96773
2014/2/16,156.96773
2014/2/17,149.72792
2014/2/18,150.52193
2014/2/19,149.13231
2014/2/20,153.00226
2014/2/21,152.60551
2014/2/22,153.2998
2014/2/23,159.84032
2014/2/24,167.16144
2014/2/25,166.27173
2014/2/26,170.42209
2014/2/27,176.73848
2014/2/28,173.97623
2014/3/1,167.26028
2014/3/2,162.31512
2014/3/3,161.91925
2014/3/4,160.92941
2014/3/5,155.58025
2014/3/6,148.13943
2014/3/7,146.55032
2014/3/8,144.76189
2014/3/9,140.58586
2014/3/10,143.27092
2014/3/11,153.49815
2014/3/12,159.7413
2014/3/13,154.1923
2014/3/14,143.96677
2014/3/15,142.87325
2014/3/16,139.19293
2014/3/17,135.90775
2014/3/18,136.10693
2014/3/19,140.28741
2014/3/20,146.35165
2014/3/21,150.52193
2014/3/22,150.62117
2014/3/23,154.3906
2014/3/24,156.86864
2014/3/25,157.56223
2014/3/26,152.20872
2014/3/27,152.60551
2014/3/28,145.55685
2014/3/29,146.35165
2014/3/30,144.76189
2014/3/31,149.52939
2014/4/1,153.59732
2014/4/2,152.10951
2014/4/3,157.76038
2014/4/4,153.59732
2014/4/5,156.37315
2014/4/6,142.97267
2014/4/7,140.88428
2014/4/8,139.69046
2014/4/9,132.42067
2014/4/10,131.6232
2014/4/11,137.69998
2014/4/12,137.69998
2014/4/13,137.69998
2014/4/14,138.39674
2014/4/15,150.91888
2014/4/16,163.50249
2014/4/17,178.80891
2014/4/18,183.83287
2014/4/19,172.89056
2014/4/20,170.61961
2014/4/21,163.00781
2014/4/22,157.56223
2014/4/23,149.13231
2014/4/24,137.30177
2014/4/25,132.12164
2014/4/26,126.33626
2014/4/27,122.54152
2014/4/28,120.14308
2014/4/29,123.04103
2014/4/30,124.03984
2014/5/1,125.53764
2014/5/2,127.63367
2014/5/3,138.19768
2014/5/4,135.60898
2014/5/5,134.41364
2014/5/6,140.38689
2014/5/7,143.27092
2014/5/8,147.94083
2014/5/9,151.3158
2014/5/10,154.29146
2014/5/11,156.76955
2014/5/12,166.76602
2014/5/13,164.49171
2014/5/14,165.4807
2014/5/15,167.26028
2014/5/16,155.0846
2014/5/17,142.47552
2014/5/18,137.0031
2014/5/19,131.02501
2014/5/20,120.34302
2014/5/21,120.84277
2014/5/22,116.94307
2014/5/23,115.5423
2014/5/24,119.843185
2014/5/25,124.439316
2014/5/26,117.043106
2014/5/27,112.63922
2014/5/28,108.23077
2014/5/29,102.81413
2014/5/30,105.523315
2014/5/31,104.8211
2014/6/1,107.52901
2014/6/2,106.726845
2014/6/3,108.832184
2014/6/4,109.83437
2014/6/5,109.03265
2014/6/6,114.44136
2014/6/7,136.00734
2014/6/8,141.58054
2014/6/9,153.6965
2014/6/10,166.86488
2014/6/11,172.29828
2014/6/12,174.96297
2014/6/13,188.85068
2014/6/14,158.55286
2014/6/15,147.34496
2014/6/16,135.90775
2014/6/17,120.84277
2014/6/18,117.7433
2014/6/19,114.54146
2014/6/20,111.337204
2014/6/21,105.72392
2014/6/22,103.416336
2014/6/23,98.29501
2014/6/24,96.3855
2014/6/25,97.5916
2014/6/26,101.30829
2014/6/27,104.118774
2014/6/28,108.43125
2014/6/29,119.14334
2014/6/30,130.62617
2014/7/1,145.85493
2014/7/2,159.84032
2014/7/3,174.76564
2014/7/4,184.42351
2014/7/5,197.20007
2014/7/6,202.20157
